linha,transacoes,cartoes_unicos,vl_linha_medio,vl_trans_medio,vl_subsidio_total,pct_subsidio_medio
451B - ENG. PEDREIRA - CENTRAL,1999,951,15.2,8.62,13155.4,55.73
800 - NOVA AURORA X MADUREIRA,1988,941,5.95,5.45,991.9,42.42
L2 MGR - Estação Maria da Graça - Metrô,1975,1049,7.9,6.04,3677.85,36.54
L1 AFP - Estação Afonso Pena - Metrô,1957,1106,7.9,6.21,3306.65,36.46
423 - TINGUA X PAVUNA,1925,972,5.95,5.33,1203.1,36.04
501 - ALCANTARA X CASTELO,1888,1016,15.55,8.23,13822.45,62.38
415T-MS - BARRA DA TIJUCA - MAGE,1871,959,17.95,8.26,17598.2,64.76
R1SCO - SÃO CRISTÓVÃO,1861,1032,7.6,5.87,3221.55,38.19
494 - DUQUE DE CAXIAS X PILARES (VIA CIDADE ALTA),1847,925,5.95,5.53,778.5,50.13
522 - MAGE X CENTRAL,1831,1020,19.75,8.38,20816.35,68.22
128004 - N. IGUAÇU - CAXIAS (V.TELES),1823,864,5.95,5.47,869.05,44.26
408M - Alcântara - Niterói (via Porto Velho),1821,963,6.35,5.8,999.7,50.62
L2 INH - Estação Inhaúma - Metrô,1818,972,7.9,5.93,3583.95,36.85
444L - PIABETA X PENHA,1814,906,13.4,8.62,8673.4,50.17
537R - ITAIPU - NITEROI SA,1802,886,8.1,7.31,1427.8,50.51
603ISEC - NOVA IGUAÇU - MAGÉ,1795,887,15.36,8.7,14218.7,74.28
421 - MIGUEL COUTO X PAVUNA,1774,915,5.95,5.39,998.4,36.16
L2 ERN - Estação Engenho da Rainha - Metrô,1754,970,7.9,5.94,3434.5,36.75
528 - PIABETÁ X CENTRAL (VIA IMBARIÊ),1743,978,14.75,8.05,11682.4,57.47
R1MRA - ESTAÇÃO MADUREIRA - SUPERVIA,1731,1030,7.6,5.89,2967.1,40.25
128001 - S.JOÃO X CAXIAS (METRÓPOLE),1723,814,5.95,5.24,1225.5,66.44
529MA - NITEROI X CEASA (VIA BARRO VERMELHO),1709,863,6.35,5.82,901.15,34.95
532 - SARACURUNA X CENTRAL,1676,868,14.75,8.18,11017.0,56.33
L1 PVG - Estação Presidente Vargas - Metrô,1655,950,7.9,4.76,5202.75,53.2
431I - NILOPOLIS - NOVA IGUAÇU,1644,781,5.95,5.51,720.85,54.33
L2 CNO - Estaçao Cidade Nova - metrô,1640,957,7.9,4.36,5799.65,66.38
L2 AFB - Estação Acari Fazenda Botafogo - Metrô,1629,927,7.9,6.02,3059.9,36.71
541 - NOVA IGUAÇU - PAVUNA ( VIA LIGHT),1598,859,5.95,5.15,1271.65,45.77
405T - NOVA IGUAÇU - BARRA DA TIJUCA,1589,847,14.15,8.53,8937.6,55.22
L2 TRG - Estação Triagem - Metrô,1584,952,7.9,5.95,3092.05,37.1
415T-BV - DUQUE DE CAXIAS X BARRA DA TIJUCA,1561,840,10.4,7.36,4439.0,44.46
404 IDK - DUQUE DE CAXIAS - PIABETÁ (VIA MARACANÃ),1558,856,7.79,7.44,2641.35,inf
560L - DUQUE DE CAXIAS - MÉIER (VIA JOSÉ DOS REIS),1542,811,5.95,5.37,890.6,51.61
548 - NITEROI X MARICA (VIA TRIBOBO),1533,930,13.9,9.05,7436.9,48.24
R2SCZ - ESTAÇÃO SANTA CRUZ - SUPERVIA,1517,780,7.6,6.46,1727.5,36.6
418 - PARQUE SUECIA - DUQUE DE CAXIAS,1482,774,5.95,5.24,1057.65,52.13
515M - PORTO DO ROSA - NITERÓI ( VIA PORTO VELHO ),1481,841,6.35,5.86,726.55,34.88
533 - SARGENTO RONCALI X CENTRAL (VIA PARQUE SÃO VICENTE),1464,823,13.9,7.93,8741.25,53.52
L1 SFX - Estação São Francisco Xavier - Metrô,1457,953,7.9,6.13,2573.6,36.65
111196 - GUAPIMIRIM X PRAÇA MAUA,1450,875,17.95,9.04,12915.65,62.9
492 - DUQUE DE CAXIAS X ENGENHO DA RAINHA,1443,778,5.95,5.42,769.9,51.55
516M - MUTUAPIRA - NITERÓI ( VIA DR. MARCH ),1420,859,6.35,5.9,633.55,38.67
727 - PARQUE ARARUAMA - GRAMACHO,1401,706,5.95,5.17,1096.7,72.0
415T-BS - DUQUE DE CAXIAS - BARRA DA TIJUCA,1400,789,10.4,7.11,4260.35,43.86
R3QMO - ESTAÇÃO QUEIMADOS - SUPERVIA,1384,863,7.6,5.56,2817.55,41.7
442B - CABUÇU - CENTRAL,1374,786,12.65,8.16,6169.45,48.67
R3NIU - ESTAÇÃO NOVA IGUAÇU - SUPERVIA,1373,883,7.6,5.24,3245.3,51.02
122B - C. SOARES - CENTRAL,1355,777,12.65,8.28,5920.8,47.61
L1 ESA - Estação Estácio - Metrô,1329,824,7.9,5.83,2749.6,39.64
425T - QUEIMADOS X BARRA DA TIJUCA,1308,758,17.95,9.66,10843.9,62.47
R2CGE - ESTAÇÃO CAMPO GRANDE - SUPERVIA,1300,825,7.6,6.15,1878.6,39.93
128003 - S. JOÃO - CAXIAS (MATADOURO),1293,687,5.95,5.21,950.7,48.13
501 - PRAÇA BOM PASTOR - DUQUE DE CAXIAS,1291,676,5.95,5.32,818.75,63.41
524 - MIGUEL COUTO X CENTRAL (VIA LUIS LEMOS),1280,736,13.9,7.65,7995.25,55.63
432 - NOVA IGUAÇU - BANGU,1270,767,5.95,5.52,542.3,41.24
716L - SANTA RITA - PAVUNA,1268,796,5.95,5.31,813.8,45.14
517 - MARICA X CASTELO,1268,798,19.75,9.38,13143.0,66.22
580I - TRES FONTES - PAVUNA (VIA VIA LIGHT),1260,759,5.95,5.41,677.75,36.75
447 - VALE DAS MANGUEIRAS (VIA PARQ) - DUQUE DE CAX,1248,705,5.95,5.19,950.25,66.82
547P - JARDIM PARAISO - SEPETIBA,1231,691,6.85,6.34,627.5,44.25
122Q - MAGÉ - ALCÂNTARA ( VIA ITAMBI ),1227,745,8.1,6.98,1377.05,64.15
594 - CHARITAS - LEME URB,1217,771,12.65,8.4,5170.85,50.59
2146D - MARICA - CASTELO TA,1204,820,25.93,11.18,11544.75,48.71
535 - VILA DE CAVA X CENTRAL,1203,722,13.9,7.89,7228.3,55.2
531 - RAIZ DA SERRA X CENTRAL,1178,784,14.75,8.17,7755.55,56.66
425T - QUEIMADOS - BARRA DA TIJUCA,1172,704,17.95,9.26,10184.15,63.25
546 - NITEROI X MAGE (VIA ITAMBI),1171,728,15.55,8.82,7876.05,57.1
143C - NITERÓI - NOVA IGUAÇU ( VIA PPCS/S. J. MERITI ),1169,713,15.2,9.09,7141.4,56.67
488 - DUQUE DE CAXIAS - USINA,1159,661,10.4,7.84,2966.5,37.29
133012 - CAMPO GRANDE - SANTA SOFIA,1138,686,6.85,6.43,476.35,55.19
520I - QUEIMADOS - CABUÇU,1136,656,5.95,5.11,951.8,65.56
R3EPA - ESTAÇÃO ENGENHEIRO PEDREIRA - SUPERVIA,1129,768,7.6,5.67,2183.0,37.35
449 - AMAPA - DUQUE DE CAXIAS,1119,657,5.95,5.24,795.2,68.19
137I - NOVA IGUAÇU - CAIXAS ( VIA DUTRA),1087,626,6.85,5.83,1104.6,58.21
468C - CENTRAL - PIABETÁ (VIA IMBARIÊ),1085,725,13.4,8.23,5606.8,49.87
770A - ITAIPU - CASTELO,1076,693,12.65,9.08,3840.35,46.99
483M - JARDIM CATARINA - NITERÓI ( VIA TRIBOBÓ ),1069,658,8.1,7.07,1103.85,62.23
3409M - Niterói - Trindade (via BR-101),1069,668,6.35,5.82,567.6,41.77
532M - Alcântara - Niterói (via Dr. March),1065,715,6.35,5.84,543.25,40.35
519 - GUAPIMIRIM X CENTRAL,1059,699,19.75,9.3,11066.2,66.0
110414 - JD. METROPOLES X CAXIAS,1058,611,5.95,5.17,829.55,77.46
707 - MIGUEL COUTO X OLINDA,1045,642,5.95,5.36,614.05,51.34
499 - CABUÇU - CENTRAL,1035,670,12.65,7.79,5031.6,51.66
128002 - S. JOÃO X CAXIAS (V. TELES),1034,633,5.95,5.16,820.95,54.54
704P - CAMPO GRANDE - LAGOINHA,1027,624,6.85,6.49,366.2,48.16
726 - ESTRADA DAS PEDRINHAS - SARAPUI,1026,603,5.95,5.15,818.0,60.3
128016 - J. BOTÂNICO - CASCADURA (P.BAND),1009,616,5.95,5.47,481.75,46.8
440B - QUEIMADOS - CENTRAL,999,626,15.2,8.59,6607.1,57.04
110465 - ANDORINHAS X CAXIAS,977,650,9.52,6.37,2351.4,41.03
508 - AUSTIN X CENTRAL (VIA TIO LUIZ),974,614,13.9,7.53,6201.8,56.48
489 - DUQUE DE CAXIAS - PRAÇA SAENS PEÑA (VIA PRAÇA DAS NAÇÕES),970,608,10.4,7.44,2873.8,42.45
R1DDO - ESTAÇÃO DEODORO - SUPERVIA,967,686,7.6,5.93,1612.9,40.89
193C - CENTRAL - PARACAMBI,966,629,17.95,10.09,7591.15,61.47
553 - PAVUNA - STA. MARIA,956,638,5.95,5.28,640.6,42.72
749L - MORRO AGUDO - PAVUNA (VIA LIGTH),952,634,5.95,5.29,626.35,44.8
422M - Niterói - Portão do Rosa,948,624,6.35,5.87,451.85,35.94
564L - DUQUE DE CAXIAS - VICENTE DE CARVALHO,939,579,5.95,5.37,546.2,36.28
2144R - MARICA - NITEROI TA,930,649,18.64,10.1,4614.2,35.09
595 - CHARITAS - GAVEA URB,930,663,12.65,8.57,3797.3,48.65
416T - DUQUE DE CAXIAS - BARRA DA TIJUCA (RAPIDO),922,621,10.4,7.86,2235.65,36.87
771A - PENDOTIBA X CASTELO,918,604,12.65,8.75,3575.85,48.82
133028 - ITAGUAÍ X COELHO NETO,910,590,6.85,6.12,663.25,60.14
530 - GENECIANO X NOVA IGUACU,908,573,5.95,5.31,582.9,51.83
412M - NITEROI - JARDIM SAO LOURENÇO (VIA BR-101),902,574,6.35,5.75,544.55,42.88
450TDK - NOVA IGUACU X ITACURUCA (VIA AV. BRASIL),891,573,7.77,7.35,1451.5,inf
505 - ALCANTARA X VENDA DAS PEDRAS,890,596,7.0,6.47,473.25,37.98
131I - NOVA IGUAÇU - CAXIAS (VIA LIGHT),887,545,6.85,5.98,771.35,46.15
412I - PAVUNA -SEROPÉDICA,887,581,11.15,8.17,2639.3,42.35
541R - NITERÓI X JÓQUEI (ARSENAL),886,595,6.35,5.73,552.6,38.17
R1MER - ESTAÇÃO MÉIER - SUPERVIA,877,641,7.6,6.19,1232.65,35.11
499P - CABUÇÚ - CENTRAL,877,619,12.65,7.69,4349.8,50.64
MB22 - ALCÂNTARA - TANGUÁ,865,538,6.35,5.99,314.8,50.59
110 - SÃO GONÇALO X PASSEIO ( VIA LEOPOLDINA),859,558,14.15,8.98,4438.7,52.2
409M - Alcântara - Niterói (via Trindade),842,600,6.35,5.77,488.2,47.75
565I - ENG. PEDREIRA - QUEIMADOS,839,542,5.95,5.44,431.2,58.92
530MA - NITERÓI X COLUBANDE,837,571,6.35,5.71,533.45,38.18
133002 - SANTA SOFIA - CENTRAL,834,567,14.15,9.28,4065.25,53.5
507 - NITEROI X APOLO III (V. JARDIM FLUMINENSE),825,554,8.9,7.82,891.05,19.74
492P - VILA DE CAVA X CENTRAL,819,590,12.65,7.81,3966.7,48.84
737 - BELFORD ROXO - DEODORO,818,558,5.95,5.4,452.7,37.29
809 - CHARITAS-GAVEA V.LAPA URB,815,578,12.65,8.96,3006.05,45.09
561L - DUQUE DE CAXIAS - FREGUESIA,809,530,10.4,7.97,1965.15,39.12
546 - NOVA IGUAÇU - TAQUARA(V.BRIGADA PARAQUEDISTA),792,568,5.95,5.5,352.7,36.59
512 - CAXIAS X PARADA ANGELICA,792,543,6.25,5.45,618.5,59.03
128042 - DUQUE DE CAXIAS - ITAGUAI (VIA NOVA IGUAÇU),780,551,6.85,6.22,494.5,58.22
705P - EDSON PASSOS - BANGU,768,544,6.85,6.4,343.05,67.67
561 - SÃO GONÇALO X VILA ISABEL (VIA PPCS),767,561,16.7,8.69,6143.4,62.56
403M - NITERÓI - TRINDADE ( VIA PORTO VELHO ),756,542,6.35,5.92,324.3,40.85
110125 - MAGE X CENTRAL,753,551,17.95,8.44,7158.25,65.59
509 - CAXIAS X CANGULO (BR 493),752,514,6.22,5.58,465.65,41.2
128037 - PAVUNA-SGT RONCALI (V.PAULINE),749,516,5.95,5.32,471.75,48.94
MB33SEC - ALCÂNTARA - RIO BONITO,745,498,6.95,6.95,0.0,
R3CSS - ESTAÇÃO COMENDADOR SOARES - SUPERVIA,736,566,7.6,5.77,1348.0,39.41
568L - DUQUE DE CAXIAS X PRAÇA SECA (VIA VAZ LOBO),731,514,5.95,5.39,406.55,53.8
155I - NOVA IGUAÇU - QUEIMADOS (VIA CAMORIM),730,509,5.95,5.35,438.75,47.27
526MA - NITERÓI X ANTONINA (V. PORTO DA PEDRA),727,515,6.35,5.94,299.25,27.56
404 I - DUQUE DE CAXIAS X PIABETÁ (VIA MARACANÃ),723,519,9.16,7.3,1189.4,35.19
119T - DUQUE DE CAXIAS - ITAGUAÍ (VIA BANGU/CAMPO GRANDE),719,492,9.55,6.94,1378.55,39.35
R3ATN - ESTAÇÃO AUSTIN - SUPERVIA,708,550,7.6,5.64,1389.6,39.15
543 - NITEROI X JOQUEI CLUB (VIA TRIBOBO/OASIS),708,494,7.0,6.52,339.25,25.64
4146T - TERMINAL ITAIPUAÇU - CASTELO (AC),703,540,25.25,11.21,6646.35,49.08
534 - TAQUARA X CENTRAL (VIA PARADA ANGÉLICA),699,512,14.75,8.36,4469.35,55.49
129B - NILOPOLIS - CENTRAL (V. NORMA),694,484,13.4,8.32,3523.45,49.89
513 - CAXIAS X NOVA CAMPINAS,687,495,6.23,5.61,407.65,43.67
504 - ALCANTARA X RIO BONITO,685,438,13.65,13.65,0.0,
606I - QUEIMADOS - VILAR DOS TELES (VIA DUTRA),681,466,6.85,6.16,472.65,42.59
L1 POZ - Estação Praça Onze - Metrô,670,504,7.9,5.26,1771.6,49.07
505 - CAXIAS X YPIRANGA (VIA SURUI),670,486,9.5,6.13,1467.25,40.67
R2PCA - ESTAÇÃO PACIÊNCIA - SUPERVIA,666,509,7.6,6.16,961.25,35.53
525 - NOVA AURORA X CENTRAL (VIA HELIÓPOLIS),657,455,13.9,8.09,3816.65,51.61
171001 - D. DE CAXIAS - S. J. DE MERITI( VIA V. VELHA),651,417,5.95,5.26,446.7,56.45
128041 - DUQUE DE CAXIAS - NILÓPOLIS,648,433,6.85,6.35,322.4,54.73
167014 - PRAÇA DA BANDEIRA - CENTRAL,642,427,11.15,8.23,1877.55,33.95
536 - XEREM X CENTRAL,634,450,14.75,8.93,3687.55,56.82
R1EDO - ESTAÇÃO ENGENHO DE DENTRO - SUPERVIA,629,490,7.6,6.18,891.5,36.77
R3NLS - ESTAÇÃO NILÓPOLIS - SUPERVIA,628,487,7.6,5.74,1168.85,41.34
R3JRI - ESTAÇÃO JAPERI - SUPERVIA,627,490,7.6,6.03,987.2,36.08
570DA - SANTA ROSA - PASSEIO,625,486,10.4,7.85,1595.65,41.69
141C - DUQUE DE CAXIAS - NITERÓI ( VIA PPCS ),625,461,14.15,8.32,3644.1,60.31
4144T - TERMINAL ITAIPUAÇU - NITEROI (AC),601,466,17.78,10.69,2677.5,34.22
L2 TCL - Estação Thomaz Coelho - Metrô,594,464,7.9,5.85,1218.0,36.71
100D - Niterói - Candelária,586,458,9.25,6.78,1449.35,48.21
425D - Alcântara - Campo Grande (via Vila Militar),581,434,17.95,9.92,4667.95,63.58
558 - PIABETA X PENHA,579,457,14.75,8.2,3793.6,56.28
446MA - NITEROI X ENGEMHO PEQUENO (V. MENTOR COUTO),574,389,6.35,5.82,305.65,38.82
562L - DUQUE DE CAXIAS - FREGUESIA(VIA ROCHA MIRANDA E PAU-FERRO),573,427,10.4,7.98,1386.95,40.54
128017 - VILA NORMA - CASCADURA,573,429,5.95,5.51,249.85,46.14
557 - SAO GONÇALO X PASSEIO,572,441,16.7,8.5,4692.1,60.95
569L - DUQUE DE CAXIAS X MADUREIRA (VIA ROCHA MIRANDA),568,410,5.95,5.26,391.2,53.45
128012 - N. IGUAÇU - PQ SÃO JOSÉ,560,372,5.95,5.53,233.05,50.87
R2BGU - ESTAÇÃO BANGU - SUPERVIA,557,448,7.6,6.09,839.5,36.45
113417D - CACUIA - VILAR DOS TELES,554,411,8.28,7.61,1577.4,inf
128007 - S. VICENTE - CAXIAS,549,388,5.95,5.38,315.2,47.3
2425D - Alcântara - Campo Grande (via Vila Militar),545,430,20.05,10.57,4606.95,58.67
540R - JOQUEI - NITEROI SA,543,403,6.35,5.68,365.35,35.73
740D - CHARITAS - IPANEMA,542,431,12.65,8.39,2308.3,49.18
128027 - PAVUNA - STA. TEREZA,541,375,5.95,5.49,247.75,49.57
423 - SÃO GONÇALO X VILA IZABEL,537,398,14.15,9.44,2526.6,49.19
559B - PARQUE SÃO VICENTE - CENTRAL,532,388,13.4,7.8,2980.55,51.85
620 - N.IGUACU X N.AURORA (ITAIPU),530,384,5.95,5.47,253.0,55.22
MB14SEC - CACHOEIRAS X ITABORAI,529,368,10.33,10.33,0.0,
514 - DUQUE DE CAXIAS X CAMPO GRANDE (VIA EDEN),526,388,11.45,8.14,1742.1,48.3
430M - CABUÇU - NITERÓI,526,399,8.1,7.24,450.75,41.53
536MA - NITERÓI X SAO GONÇALO(VIA BOA VISTA CIRCULAR),524,397,6.35,5.99,189.65,31.44
400M - Bairro das Palmeiras - Niterói (via Nova Cidade),523,404,6.35,5.91,228.2,41.31
630I - NOVA IGUAÇU-XAVANTE (VIA HELIÓPOLIS),522,372,5.95,5.44,265.3,39.46
106P - PARACAMBI - NOVA IGUAÇU,519,389,9.25,7.65,830.4,27.71
607I - NOVA IGUAÇU - B. PARAÍSO (VIA AUSTIN E GUIM.),518,382,5.95,5.34,317.3,56.13
417T - XEREM - BARRA DA TIJUCA,513,379,14.15,8.87,2708.05,51.87
518B - CENTRAL - HELIOPOLIS,507,395,12.65,7.87,2422.35,48.85
401M - Luiz Caçador - Niterói (via Porto Velho),506,399,6.35,5.94,207.0,44.65
757M - ALCÂNTARA - VENDA DAS PEDRAS,503,374,6.35,6.0,178.0,44.49
420T - MESQUITA - NILOPOLIS X BARRA DA TIJUCA,502,356,13.4,9.57,1921.7,43.59
800 - MAGE X CANECA FINA,499,351,8.1,7.09,501.95,84.89
400T - BELFORD ROXO - BARRA DA TIJUCA,487,371,12.65,7.9,2311.15,52.35
708I - MIGUEL COUTO X PAVUNA (METRO) VIA DUTRA,484,379,5.95,5.52,208.3,29.67
121Q - MAGÉ - NITERÓI ( VIA ITAMBI ),480,387,13.44,8.41,2753.5,inf
128029 - NILOPÓLIS - PAVUNA (TOMAZINHO),474,348,5.95,5.36,278.75,45.49
MP74DK - PATY - JAPERI,465,334,11.13,11.13,0.0,
128025 - PAVUNA - J.BOM PASTOR,462,350,5.95,5.15,369.6,48.16
400T - BELFORD ROXO X BARRA DA TIJUCA,460,366,12.65,8.53,1895.05,46.24
479B - MESQUITA - CENTRAL (VIA EDSON PASSOS),458,349,13.4,9.09,1972.8,43.94
543 - NOVA IGUAÇU - MEIER (ENG. DENTRO),442,363,5.95,5.6,155.7,25.65
567D - CANDELÁRIA - VENDA DAS PEDRAS ( VIA PPCS ),438,347,15.2,8.97,2728.7,55.92
535 - ALCÂNTARA X ESTÁCIO,438,347,14.15,8.36,2534.1,53.94
124B - NILOPOLIS - PASSEIO ( VIA PARADA DE LUCAS),432,324,13.4,8.81,1984.85,50.21
R3MQA - ESTAÇÃO MESQUITA - SUPERVIA,432,362,7.6,5.67,833.8,39.04
R5GRM - ESTAÇÃO GRAMACHO - SUPERVIA,429,368,7.6,5.12,1065.4,49.89
407T - NOVA IGUAÇU X RECREIO (VIA TRANSOLÍMPICA),425,300,14.15,9.14,2128.1,51.33
R2IBA - ESTAÇÃO INHOAÍBA - SUPERVIA,424,356,7.6,6.03,666.75,34.27
R3EPS - ESTAÇÃO EDSON PASSOS - SUPERVIA,423,349,7.6,5.95,696.1,35.23
751L - MORRO AGUDO - PAVUNA (VIA COSMORAMA),413,326,5.95,5.39,231.05,46.79
544P - NILOPOLIS - SEROPEDICA,412,323,6.85,6.42,178.65,72.44
133009 - CAMPOR GRANDE - ILHA DA MADEIRA,409,308,6.85,6.53,129.85,54.16
128038 - NOVA AURORA - MADUREIRA,405,327,5.95,5.37,235.35,62.78
175I - BELFORD ROXO - QUEIMADOS (VIA DUTRA),404,299,6.85,5.87,397.8,59.26
478B - MESQUITA - CENTRAL (VIA CHATUBA),403,321,10.85,7.43,1377.4,50.55
1721D - ALCÂNTARA - CANDELÁRIA,403,325,18.52,9.84,2452.8,42.77
205 - N.IGUACUXB.ROXO (PIAM),401,316,5.95,5.21,297.9,55.02
R5CXS - ESTAÇÃO DUQUE DE CAXIAS - SUPERVIA,398,335,7.6,5.46,851.0,49.99
128021 - J.NOVO RIO - CASCADURA,395,307,5.95,5.65,120.45,26.99
520DA - J. ALCÂNTARA X ESTÁCIO (V. DR MARCH),390,314,14.15,8.28,2287.85,57.13
