linha,transacoes,cartoes_unicos,vl_linha_medio,vl_trans_medio,vl_subsidio_total,pct_subsidio_medio
L1 CTR - Estação Central - Metrô,15439,1855,7.9,3.81,63132.45,72.05
L2 PVN - Estação Pavuna - Metrô,15075,1882,7.9,5.22,40370.95,53.31
L1 BTF - Estação Botafogo - Metrô,13335,1884,7.9,5.93,23907.75,36.76
PXV-NIT - PRAÇA XV X ARARIBOIA,9477,1801,4.7,4.21,2286.95,27.2
L4 JOC - Estação Jardim Oceânico,8955,1799,7.9,6.21,15171.45,36.69
L1 SCP - Estação Siqueira Campos - Metrô,6845,1718,7.9,5.98,13161.5,36.5
128013 - NOVA IGUAÇU - XEREM,6773,1490,6.35,5.76,4023.9,49.66
R1CBL - ESTAÇÃO CENTRAL DO BRASIL - SUPERVIA,6766,1753,7.6,5.43,14698.5,49.95
L2 DCT - Estação Del Castilho - Metrô,5968,1588,7.9,6.25,9611.95,36.51
L1 LMC - Estação Largo do Machado - Metrô,5752,1701,7.9,6.11,10314.5,36.38
551 - NOVA IGUAÇU - PENHA,5333,1442,5.95,5.52,2306.45,34.98
L1 SPN - Estação Saens Peña - Metrô,5210,1659,7.9,6.16,9067.85,36.57
560 - PRAÇA XV X VENDA DAS PEDRAS (VIA PPCS),5033,1493,16.7,8.97,38887.3,61.21
L4 SCO - Estação São Conrado,4495,1502,7.9,5.9,8975.5,36.58
L1 CRC - Estação Carioca - Metrô,4468,1595,7.9,5.89,8986.6,44.54
L2 CNT - Estação Coelho Neto - Metrô,4110,1457,7.9,5.65,9238.05,46.81
548P - NILOPOLIS - CAMPO GRANDE,4059,1370,6.85,6.23,2518.25,58.73
L1 URG - Estação Uruguaiana - Metrô,4047,1524,7.9,5.9,8101.15,42.32
L4 JAH - Estação Jardim de Alah,3982,1449,7.9,6.05,7362.3,36.53
503 - NITEROI X ALCANTARA (VIA TRIBOBÓ),3980,1303,7.0,6.27,2897.9,38.69
L1 GNO - Estação General Osório - metrô,3942,1534,7.9,6.04,7315.1,36.56
531MA - NITEROI X J. ALCÂNTARA (V. DR MARCH),3905,1321,6.35,5.84,1978.05,34.96
L1 CAV - Estação Cardeal Arcoverde - Metrô,3889,1497,7.9,6.15,6811.8,36.51
L4 AQT - Estação Antero de Quental,3833,1462,7.9,5.96,7240.5,36.52
PXV-PQ - PRAÇAXV X PAQUETA,3813,997,3.83,3.77,243.85,14.62
R1MNA - MARACANÃ,3747,1491,7.6,6.05,5805.9,36.19
L4 NSP - Estação Nossa Senhora da Paz,3736,1427,7.9,5.91,7444.3,36.33
549M - NITERÓI - SANTA ISABEL ( VIA TRIBOBÓ ),3687,1239,8.1,7.05,3880.55,57.24
L2 MRC - Estação Maracanã - Metrô,3684,1458,7.9,6.31,5841.35,38.61
L1 URI - Estação Uruguai - Metrô,3622,1476,7.9,6.09,6355.2,36.48
L1 FLA - Estação Flamengo - Metrô,3515,1463,7.9,5.99,6716.6,36.54
128023 - S. VICENTE - MEIER,3457,1210,5.95,5.59,1253.85,37.63
510 - CABUÇU X CENTRAL,3414,1215,13.9,7.89,20520.4,56.61
404M - NITERÓI - TRINDADE ( VIA BR-101 ),3312,1181,6.35,5.74,2032.6,41.41
541 - NOVA IGUAÇU - CASCADURA,3276,1249,5.95,5.54,1336.5,28.11
112C - DUQUE DE CAXIAS - CENTRAL (VIA LINHA VERMELHA/AV. BRASIL),3273,1214,9.25,5.93,10854.35,46.11
L2 VCV - Estação Vicente de Carvalho - Metrô,3202,1324,7.9,6.11,5717.6,37.91
L1 GLR - Estação Glória - Metrô,3155,1387,7.9,6.28,5119.45,37.14
499 - PARQUE SAO JOSE - DUQUE DE CAXIAS,3135,1148,5.95,5.28,2114.4,57.97
443MA - NITEROI X BOA VISTA,3036,1103,6.35,5.7,1967.9,35.02
128008 - N. IGUAÇU - CAXIAS ( LOTE XV),3017,1154,5.95,5.38,1707.7,47.75
502 - VALE DO IPE - DUQUE DE CAXIAS,2995,1150,5.95,5.22,2188.95,51.17
L2 IRJ - Estação Irajá - Metrô,2980,1284,7.9,6.03,5569.0,39.6
413M - NITERÓI - VENDA DAS PEDRAS ( VIA BR-101 ),2980,1193,10.4,8.16,6681.6,34.58
L1 CTG - Estação Cantagalo - Metrô,2919,1322,7.9,6.08,5326.5,36.47
405DKA - CAXIAS - PIABETÁ (LOTE XV),2849,1119,6.08,6.09,2626.8,inf
128024 - PAVUNA - VALE DO IPÊ,2838,1118,5.95,5.29,1867.35,46.09
544 - NOVA IGUAÇU - MEIER (N. SHOPPING),2834,1141,5.95,5.5,1277.6,44.64
138I - CAXIAS - NILOPOLIS ( VIA JARDIM AMERICA),2822,1064,5.95,5.43,1453.6,37.76
L1 CTT - Estação Catete - Metrô,2812,1321,7.9,6.04,5219.2,36.3
L1 CNL - Estação Cinelândia - Metrô,2778,1314,7.9,6.19,4736.55,38.73
484M - ALCÂNTARA - NITERÓI ( VIA TRIBOBÓ ),2678,1144,6.35,5.65,1864.1,41.17
180I - NOVA IGUAÇU - JAPERI,2666,1108,5.95,5.36,1580.9,46.13
429 - QUEIMADOS - CAXIAS,2596,1061,5.95,5.42,1370.7,52.96
530 - QUEIMADOS X CENTRAL,2580,1113,16.7,8.26,21786.35,62.96
415C - CENTRAL  -  JARDIM LEAL ( VIA GRAMACHO),2509,1098,9.25,6.57,6725.75,39.28
106 - SÃO JOÃO - NILÓPOLIS,2505,1019,5.95,5.45,1242.9,42.89
L2 SCR - Estação São Cristovão - Metrô,2466,1201,7.9,6.03,4612.6,39.19
L2 ERP - Estação Eng Rubens Paiva - Metrô,2428,1132,7.9,5.68,5390.9,38.93
428L - NOVA AURORA X BONSUCESSO,2391,1072,5.95,5.44,1209.85,39.79
555 - NITEROI X VENDAS DAS PEDRAS (VIA BR 101),2365,1055,11.45,8.88,6075.65,36.37
485 - DUQUE DE CAXIAS X PILARES,2325,1007,5.95,5.36,1375.0,43.28
490 - CENTRAL - MIGUEL COUTO,2323,1107,12.65,7.7,11503.3,50.32
L2 CLG - Estação Colégio - Metrô,2152,1070,7.9,5.79,4546.8,41.38
128014 - J. REDENTOR - CASCADURA,2085,978,5.95,5.51,923.2,48.64
526 - NOVA CAMPINA X CENTRAL,2070,1000,14.75,8.49,12950.5,56.68
500 - BAIRRO VONA (VIA PARQUE FLU - DUQUE DE CAXIAS,2040,921,5.95,5.26,1410.5,57.82
102C - DUQUE DE CAXIAS - CENTRAL (VIA 25 AGOSTO),2015,963,9.25,7.21,4115.75,32.79
133027 - SANTA SOFIA  X COELHO NETO,2005,1014,6.85,6.22,1258.1,53.71
527 - PARQUE SAO VICENTE X CENTRAL,1999,962,13.9,7.98,11825.65,53.51
